uniqueid,deo,region,district,gender,age,income,person_of_worth,good_qualities,am_failure,do_well,little_pride,positive_attitude,satisfied_w_self,want_selfrespect,feel_useless,no_good_at_all
407,2,3,32,1,27,89,4,4,3,4,2,2,4,4,3,4
408,2,2,22,2,37,88,4,4,1,2,3,2,2,3,2,3
409,2,4,43,2,28,74,3,3,2,2,2,4,2,2,3,4
410,2,3,33,1,32,121,3,4,2,3,2,2,4,3,3,1
411,5,3,31,2,39,107,3,2,2,2,2,3,2,2,4,3
412,7,2,22,2,39,68,4,2,3,2,3,3,3,3,4,3
413,8,1,12,2,29,8,2,2,2,2,1,3,3,1,2,3
414,1,3,34,1,32,16,1,3,2,2,3,2,4,3,4,2
415,4,4,43,1,32,57,3,3,3,3,2,2,3,2,4,4
416,3,3,35,1,30,22,1,2,4,3,2,3,2,3,2,2
417,7,2,25,1,29,373,2,3,2,3,2,2,2,2,4,2
418,8,1,15,1,37,42,2,2,4,1,2,2,1,2,3,3
419,8,4,41,1,31,87,3,2,3,4,1,1,2,2,2,4
420,7,5,55,2,25,39,2,3,3,2,3,1,3,2,2,4
421,4,1,15,1,31,121,1,2,2,3,1,3,3,3,4,2
422,4,5,52,1,33,91,1,2,3,2,2,3,3,2,3,1
423,2,1,14,1,35,52,4,2,3,2,3,3,4,4,2,2
424,4,4,45,2,18,32,3,3,3,2,2,2,4,3,2,4
425,4,1,12,2,32,43,3,3,3,4,4,2,1,3,3,3
426,2,5,54,2,27,161,3,2,4,3,2,3,3,2,3,4
427,4,1,13,2,26,27,1,4,4,2,2,2,4,3,2,3
428,3,4,45,1,36,116,2,3,3,2,4,4,1,2,3,4
429,8,4,41,1,25,51,3,2,1,1,2,4,4,3,2,2
430,6,4,45,1,24,7,3,1,2,2,2,3,2,1,3,2
431,5,4,45,2,30,586,3,2,2,2,3,4,2,2,3,4
432,7,1,13,2,24,28,1,3,3,2,4,3,3,3,4,3
433,1,3,34,1,30,19,1,3,2,3,3,3,4,3,3,2
434,2,4,41,2,19,32,3,3,2,1,4,3,3,4,3,3
435,6,3,32,1,29,308,4,3,3,4,2,2,4,3,4,2
436,7,1,12,2,26,39,3,2,3,3,4,4,3,4,2,4
437,7,2,24,2,26,137,1,3,2,3,2,3,3,3,1,4
438,8,5,54,1,30,17,2,3,3,2,1,2,4,4,2,3
439,8,4,41,2,37,25,2,3,2,4,4,3,4,3,2,2
440,1,3,33,2,23,110,2,4,3,4,2,3,3,2,4,3
441,5,3,35,2,37,90,3,2,3,4,3,4,2,4,2,3
442,7,4,44,1,45,73,1,4,3,4,2,2,2,1,3,4
443,7,5,51,1,32,302,3,3,2,4,4,1,2,3,2,1
444,8,3,31,1,31,13,4,4,3,4,2,4,2,2,3,3
445,4,2,23,2,36,110,2,4,1,4,4,3,4,3,3,2
446,1,3,35,1,24,121,3,2,2,2,2,1,1,3,3,2
447,6,5,51,1,39,43,3,2,3,3,1,1,2,1,2,4
448,1,2,21,1,23,60,3,2,4,2,3,2,2,1,3,2
449,2,2,25,1,29,105,4,2,2,2,2,2,4,3,3,3
450,4,3,34,2,27,106,3,4,4,1,3,1,2,3,2,2
451,2,2,23,2,34,70,4,2,2,2,2,4,4,2,2,3
452,2,3,31,1,47,11,3,4,3,2,1,4,3,2,1,3
453,4,4,42,2,30,115,1,4,2,3,4,3,2,3,1,2
454,1,5,54,2,34,34,3,1,1,2,2,3,3,2,3,3
455,5,3,32,2,39,52,3,2,2,4,3,4,1,3,2,3
456,2,5,54,1,30,67,4,3,2,4,3,4,1,3,3,3
457,2,5,52,2,36,198,3,4,4,3,4,3,3,4,2,3
458,3,3,32,2,32,40,2,2,3,4,1,2,3,2,3,3
459,5,2,21,2,32,74,2,4,1,2,3,2,3,2,4,2
460,2,1,12,1,29,135,4,4,2,2,2,3,2,2,2,2
461,5,5,55,2,32,114,4,1,2,3,1,2,1,3,2,3
462,2,3,33,1,27,33,2,4,1,3,2,3,2,4,2,3
463,3,4,43,2,26,152,2,3,3,3,3,1,2,4,2,4
464,3,5,52,2,31,14,1,4,4,3,3,3,2,4,4,1
465,1,1,11,2,36,62,4,3,1,4,2,1,3,1,3,4
466,5,1,14,2,38,82,3,3,4,4,2,3,2,2,2,2
467,4,4,43,1,29,17,2,3,3,4,2,3,2,3,3,3
468,3,5,54,1,38,17,3,2,3,1,2,2,2,3,4,2
469,1,1,14,1,36,12,2,2,1,3,2,2,2,3,3,2
470,5,2,24,1,31,28,2,2,2,4,3,3,2,2,3,1
471,3,5,51,1,30,75,4,3,3,2,2,4,2,1,2,4
472,7,4,42,2,28,70,2,2,3,3,4,4,4,3,4,3
473,2,3,33,2,30,44,4,4,2,2,1,3,2,4,2,3
474,5,3,34,1,35,85,2,2,3,2,3,2,4,4,2,3
475,7,5,53,1,31,124,3,3,1,2,1,3,2,3,2,3
476,6,4,44,2,27,18,3,4,2,2,1,2,2,2,3,1
477,8,3,32,2,26,45,2,4,2,2,1,3,4,4,3,3
478,7,4,41,1,25,54,3,1,4,3,3,2,1,2,2,2
479,7,4,41,1,27,151,3,4,2,3,4,3,2,4,2,2
480,4,4,44,2,35,177,2,3,2,2,4,3,2,4,1,3
481,8,2,23,2,37,80,4,3,3,4,1,4,3,2,2,3
482,8,5,54,2,39,72,4,4,2,3,3,2,4,3,4,2
483,2,5,54,1,23,17,3,3,2,2,2,1,4,3,3,3
484,8,4,42,2,34,122,3,3,1,4,2,2,1,4,2,3
485,2,2,21,1,32,126,1,1,4,4,3,2,1,4,2,2
486,7,1,15,2,26,21,3,4,3,2,4,2,4,3,2,2
487,7,5,54,1,35,130,2,1,4,4,2,2,2,3,4,4
488,6,4,41,1,41,40,3,2,3,4,2,4,1,2,3,3
489,7,3,33,2,30,42,2,2,2,4,4,3,1,3,2,4
490,8,3,32,1,37,7,2,4,4,3,3,3,1,2,2,2
491,3,5,54,2,32,32,4,2,3,3,4,1,3,3,4,1
492,3,2,24,2,35,22,3,4,4,2,2,3,2,1,3,3
493,3,4,42,2,35,8,2,1,2,4,2,2,2,3,3,4
494,7,5,54,1,27,125,3,2,1,4,2,4,3,4,3,4
495,6,1,12,1,31,57,1,2,3,3,4,3,4,4,3,2
496,4,1,14,2,36,3,1,2,3,3,3,4,4,4,2,2
497,1,4,45,2,34,29,4,3,3,2,2,2,1,4,2,3
498,6,3,35,2,29,78,1,3,2,3,2,4,3,3,1,1
499,7,1,15,1,31,10,3,3,1,3,4,3,1,3,2,2
500,7,3,35,1,27,60,2,2,3,2,3,2,3,3,1,3
501,4,2,25,2,31,18,4,2,2,2,3,3,3,3,4,1
502,7,2,25,2,42,11,4,2,3,3,3,2,4,3,2,3
503,7,2,23,1,31,108,2,3,4,4,1,3,2,2,3,2
504,1,1,11,1,29,44,2,4,3,3,3,2,4,1,2,4
505,4,5,55,1,31,57,2,2,3,4,1,2,2,3,3,1
506,2,1,12,2,32,10,4,4,2,3,4,3,1,3,4,2
507,8,2,22,2,20,207,2,2,3,2,1,4,1,3,4,3
508,1,4,45,2,31,5,4,4,3,2,4,3,3,2,4,3
509,2,3,32,2,26,163,2,4,4,2,3,3,4,3,3,3
510,6,2,23,2,34,89,4,4,2,2,1,2,3,2,3,4
511,3,4,42,1,27,15,2,2,3,2,3,2,4,4,2,2
512,5,2,22,2,30,459,3,4,4,3,1,4,4,1,1,3
513,2,4,42,2,34,53,3,2,3,4,3,4,2,4,3,3
514,2,1,13,1,32,153,2,3,2,2,2,2,2,2,3,2
515,7,5,52,2,22,877,1,3,3,2,2,3,3,4,4,3
516,5,4,41,2,25,44,4,3,3,4,3,3,4,2,3,2
517,6,1,15,1,32,570,2,2,3,3,4,1,2,3,4,2
518,4,2,23,1,30,25,3,2,1,3,4,3,2,2,3,2
519,8,5,52,2,31,57,2,1,3,4,1,3,3,4,3,1
520,8,5,51,2,30,142,4,3,2,4,3,1,3,3,4,3
521,8,1,12,2,22,280,3,2,4,2,4,4,3,3,4,2
522,1,2,23,2,25,193,2,4,1,2,2,4,3,3,1,2
523,4,3,34,2,44,56,3,4,3,2,2,4,2,3,2,3
524,6,3,34,1,18,23,2,3,2,2,2,3,2,3,3,1
525,1,1,12,1,36,61,2,2,3,2,2,3,1,3,4,3
526,4,5,53,1,24,294,2,3,2,3,2,4,1,4,3,3
527,7,4,42,2,34,250,4,2,3,3,3,4,2,2,1,3
528,5,1,12,1,20,113,3,2,2,2,2,3,1,1,2,4
529,7,1,15,1,37,61,3,3,3,2,1,2,3,4,4,3
530,4,4,41,2,30,187,2,2,2,4,2,2,2,3,2,4
531,6,2,23,2,33,22,4,2,1,2,3,3,1,3,2,2
532,8,1,12,2,22,35,2,3,3,4,1,2,3,3,2,2
533,7,1,11,1,29,82,2,3,3,4,4,4,3,3,2,4
534,8,3,31,1,27,197,2,2,3,1,1,2,3,3,3,3
535,7,2,25,2,28,16,3,3,3,4,3,3,3,3,2,3
536,4,3,32,1,33,231,2,2,4,4,1,2,2,2,3,3
537,7,4,41,2,33,138,2,3,4,3,1,2,2,2,3,3
538,5,5,51,2,26,13,3,2,1,3,4,2,2,3,3,3
539,1,2,25,1,35,185,3,2,4,4,3,1,2,3,4,2
540,3,2,25,1,32,68,4,4,3,2,3,3,3,3,2,2
541,3,4,44,1,33,24,4,3,3,3,2,1,3,2,2,1
542,4,2,25,2,32,128,2,4,2,4,3,3,2,3,3,4
543,3,2,24,1,35,146,2,4,2,4,2,3,1,2,2,4
544,4,4,41,2,29,174,2,3,2,3,2,4,3,3,2,2
545,5,3,31,2,28,30,2,3,2,1,1,2,2,2,2,2
546,3,3,31,1,29,33,1,3,2,1,3,4,1,3,2,2
547,5,4,44,2,29,37,2,4,4,4,3,2,4,2,2,4
548,6,4,41,1,34,50,2,3,2,1,3,1,4,4,4,3
549,4,5,53,2,26,12,4,2,2,2,2,4,3,1,3,3
550,7,3,31,2,35,55,4,4,2,2,2,3,4,3,4,2
551,3,1,12,2,30,90,2,2,3,2,2,1,2,3,2,3
552,1,3,35,1,32,14,2,4,1,3,3,1,2,4,3,1
553,4,2,25,1,27,56,2,2,2,3,2,4,1,1,3,3
554,5,5,53,2,24,127,3,3,2,2,3,2,3,4,1,3
555,7,1,12,1,39,88,3,3,3,2,2,2,1,4,2,2
556,8,3,34,1,31,37,3,4,3,4,3,3,3,3,2,2
557,4,2,25,1,28,133,4,3,2,1,2,1,2,4,2,3
558,1,1,15,2,24,57,4,2,4,3,2,4,2,4,2,1
559,2,3,32,1,26,60,4,2,2,2,2,3,2,4,2,4
560,8,2,21,2,29,13,3,3,2,2,4,1,3,4,3,4
561,4,1,14,1,21,89,3,2,1,3,4,4,2,3,4,1
562,8,2,24,1,30,109,2,3,1,4,2,4,4,4,3,3
563,8,5,52,1,28,153,2,4,3,1,3,2,1,2,4,3
564,6,1,15,2,34,294,3,3,3,3,2,4,3,3,3,1
565,3,3,35,1,26,23,2,2,2,2,3,3,3,4,2,2
566,7,2,24,1,38,231,2,2,2,2,3,1,4,1,4,2
567,2,3,33,2,28,169,4,3,3,2,1,4,4,1,3,2
568,1,4,43,2,34,44,3,4,2,1,1,3,2,1,3,3
569,4,1,12,2,25,14,2,2,3,2,3,3,2,2,2,3
570,3,2,25,2,25,62,3,3,4,4,2,2,4,4,2,3
571,4,1,15,2,24,110,3,3,2,3,4,3,2,3,3,3
572,5,2,25,2,39,120,4,2,2,3,1,4,3,4,2,3
573,2,5,53,1,29,259,1,2,2,2,3,2,3,4,2,1
574,6,4,45,1,32,187,3,2,4,4,3,4,3,4,3,3
575,8,2,25,1,31,47,3,2,4,2,3,3,3,2,4,4
576,7,1,14,1,32,59,4,3,4,2,3,3,2,2,4,4
577,6,5,54,1,31,107,3,3,2,2,2,1,2,3,2,2
578,7,5,54,2,35,102,4,2,1,3,3,3,4,3,4,4
579,7,5,54,1,33,46,3,4,3,2,3,3,3,2,1,3
580,8,5,53,2,31,56,3,3,4,2,4,1,2,3,3,1
581,5,3,35,2,29,427,4,2,1,1,2,2,1,3,3,2
582,4,1,15,1,31,99,1,3,3,3,1,2,1,2,1,3
583,4,5,53,2,30,100,4,4,1,1,4,2,4,2,3,4
584,4,5,54,1,39,354,3,2,2,2,2,1,3,2,3,2
585,3,5,55,2,36,95,4,1,3,3,2,2,3,4,2,2
586,4,5,55,1,28,29,3,2,3,3,3,4,3,2,3,2
587,6,5,54,1,43,58,2,3,4,3,3,2,4,4,4,1
588,1,1,11,2,33,82,2,2,4,3,2,1,3,4,4,4
589,3,2,21,1,40,84,3,2,4,2,3,3,4,3,3,3
590,3,1,12,1,33,18,2,3,1,2,2,4,4,3,2,2
591,5,1,14,2,31,31,3,3,2,2,2,2,3,4,3,1
592,6,4,45,1,25,94,2,2,4,2,4,2,2,4,3,3
593,3,5,55,2,34,21,2,2,2,3,2,3,3,4,4,1
594,8,1,12,1,37,110,4,4,3,3,3,3,3,2,4,2
595,1,2,23,2,35,198,1,1,3,4,3,4,3,3,3,3
596,8,2,23,2,28,91,3,4,3,2,2,2,4,2,3,3
597,5,2,25,1,37,80,3,3,2,1,4,2,3,3,1,3
598,2,4,44,2,39,10,2,4,4,4,4,4,1,4,2,3
599,5,3,31,2,33,51,4,4,3,2,3,2,2,2,3,3
600,7,4,43,2,30,120,3,3,3,2,3,3,2,2,2,3
601,2,5,51,2,28,49,3,2,3,1,1,2,4,3,4,1
602,6,1,15,2,27,85,3,3,2,3,2,3,4,2,1,3
603,5,2,25,1,30,5,3,4,2,3,1,2,4,1,4,2
604,7,1,12,1,33,51,3,2,2,3,3,4,2,2,4,2
605,5,3,32,1,39,87,2,2,2,1,3,1,2,3,2,4
606,4,4,42,2,31,22,3,4,2,3,1,2,4,4,4,1
607,4,3,34,2,34,134,4,1,2,4,2,4,1,3,4,2
608,2,1,11,2,29,283,2,3,2,2,3,2,3,3,3,1
609,4,5,52,2,30,295,3,3,4,3,2,4,4,3,3,3
610,8,3,32,1,32,16,2,2,1,1,3,3,3,2,2,3
611,8,5,52,2,33,132,4,3,3,4,4,2,3,2,2,4
612,8,5,51,1,30,71,2,3,3,2,1,2,1,3,3,3
613,2,3,35,1,37,87,1,3,2,2,1,2,4,3,4,2
614,2,3,34,2,37,30,3,4,2,3,3,2,3,2,2,4
615,4,5,52,1,35,61,4,3,2,3,2,4,3,3,2,2
616,8,4,42,1,32,53,3,4,3,4,2,3,3,2,3,3
617,6,1,11,1,26,36,1,2,2,3,2,2,3,3,2,2
618,2,3,32,2,26,245,2,4,3,3,3,3,2,3,1,3
619,5,1,14,2,43,44,3,1,2,2,1,3,3,4,2,3
620,7,2,21,2,41,113,3,3,2,2,3,3,2,3,3,2
621,7,4,41,1,37,145,2,2,2,2,4,2,4,2,3,1
622,4,2,21,2,38,19,2,4,4,3,2,2,3,2,2,2
623,5,5,51,1,33,211,2,4,3,3,3,4,4,3,2,3
624,8,1,11,1,30,29,3,4,3,2,2,2,3,3,2,3
625,2,1,14,2,18,83,2,3,2,3,2,3,4,4,3,2
626,4,2,25,2,37,243,4,2,3,3,2,1,3,2,1,3
627,6,3,33,2,36,60,4,2,2,3,1,2,2,1,2,2
628,1,1,15,1,30,55,3,4,2,4,4,3,4,2,2,3
629,6,4,44,2,33,112,4,3,3,4,2,3,3,4,1,4
630,2,1,14,1,36,500,3,3,1,4,2,2,3,2,2,4
631,6,3,32,2,28,91,2,3,4,2,2,3,1,2,3,3
632,1,3,34,2,35,77,4,2,3,2,2,4,3,3,3,1
633,1,2,21,1,23,39,3,4,3,4,2,1,2,2,3,4
634,8,3,35,1,33,41,3,2,3,2,3,3,4,4,4,4
635,5,3,31,1,32,35,2,1,2,4,2,4,2,3,3,2
636,3,4,42,2,38,45,2,3,2,3,4,2,1,3,3,3
637,2,2,25,1,32,130,2,3,3,4,3,4,3,2,2,1
638,3,2,23,2,39,136,2,3,3,2,1,1,2,3,2,2
639,2,4,45,2,31,13,4,2,3,3,4,2,3,3,3,1
640,4,2,25,2,21,97,2,4,2,2,4,4,3,2,2,3
641,5,1,15,1,39,33,2,2,1,4,3,2,2,4,3,3
642,3,4,45,1,33,114,2,2,2,3,3,2,2,4,1,2
643,1,1,12,1,23,182,3,4,1,3,1,4,3,2,3,2
644,3,5,51,2,34,100,2,2,2,2,3,3,2,3,2,4
645,1,3,35,2,37,6,4,3,3,3,2,2,1,2,4,3
646,4,1,15,2,25,40,4,2,4,2,2,1,2,3,4,2
647,1,3,35,2,23,40,2,3,1,3,2,1,2,3,2,2
648,6,3,35,1,22,61,3,2,4,3,1,1,2,2,2,4
649,1,5,51,2,27,18,4,2,2,2,3,3,2,2,3,2
650,3,1,14,1,32,75,1,3,2,3,3,4,2,2,2,2
651,4,4,41,1,23,113,2,4,2,2,4,3,2,3,2,3
652,3,2,23,1,26,15,3,1,2,4,2,3,4,2,2,4
653,5,1,15,2,36,154,4,2,3,2,2,1,3,3,2,3
654,2,4,43,2,28,39,4,2,4,2,3,4,3,3,2,3
655,4,3,35,2,26,45,3,2,3,2,2,3,3,2,4,2
656,7,3,32,2,40,154,1,3,3,2,4,3,3,1,4,2
657,5,2,23,2,34,8,3,2,1,1,3,2,3,4,2,4
658,3,4,41,2,23,128,1,3,2,3,2,2,1,3,2,1
659,1,3,32,2,38,320,4,2,3,3,2,3,4,2,2,3
660,8,5,52,1,44,48,3,2,3,2,3,3,2,3,3,3
661,7,3,35,2,32,62,2,1,4,4,3,3,3,2,2,4
662,3,1,11,1,36,48,3,4,4,2,2,3,2,3,3,2
663,3,2,22,1,34,64,4,3,4,2,3,4,2,3,3,2
664,4,2,25,1,44,18,2,2,2,3,1,3,3,4,3,3
665,7,2,22,2,31,209,2,3,3,2,2,3,3,4,3,2
666,7,3,31,1,32,14,2,2,2,1,2,3,3,3,3,4
667,1,3,32,2,34,16,4,4,3,2,3,2,2,1,3,4
668,4,1,15,1,35,14,2,4,3,3,2,3,4,2,4,2
669,2,5,54,1,35,84,4,4,3,4,4,3,4,2,2,2
670,5,3,32,2,34,367,2,2,3,3,1,4,2,4,4,3
671,6,4,42,1,32,86,3,3,3,1,4,3,2,2,1,3
672,5,2,22,1,24,70,1,3,4,4,4,2,4,2,3,2
673,6,4,42,1,39,76,3,2,4,3,1,3,3,4,2,2
674,6,4,42,1,30,77,1,2,4,2,3,1,1,4,1,4
675,7,2,24,1,31,24,4,2,2,4,2,3,1,3,1,3
676,5,2,23,2,30,29,4,2,2,2,4,1,1,3,1,1
677,7,1,12,2,32,233,3,2,4,2,3,2,2,3,2,2
678,7,1,12,1,38,25,4,4,2,2,4,3,2,3,2,3
679,3,2,23,1,26,330,2,2,3,4,1,2,3,3,1,4
680,3,3,33,2,28,262,3,4,2,2,1,4,3,2,1,4
681,6,4,45,2,25,628,3,3,4,1,2,3,4,3,4,4
682,8,4,45,1,32,215,3,3,3,2,4,2,3,3,1,2
683,7,4,43,2,39,106,2,4,3,1,3,3,3,2,4,2
684,4,3,32,1,31,193,4,4,3,3,3,2,3,2,4,2
685,7,5,53,1,22,2,3,2,2,3,3,1,2,3,3,3
686,6,3,34,1,24,11,4,3,2,4,4,3,1,3,3,2
687,3,3,31,1,39,106,2,3,3,2,2,2,3,2,4,2
688,5,5,51,1,31,48,3,3,4,2,4,3,3,3,2,2
689,5,4,42,1,38,163,2,2,4,4,3,1,4,3,2,3
690,4,3,32,2,39,37,4,2,2,3,2,3,4,4,3,1
691,4,3,31,1,25,27,3,3,4,2,2,1,2,3,2,3
692,7,1,12,2,33,187,4,4,3,2,2,3,2,3,2,4
693,2,3,33,2,27,8,1,3,3,4,4,4,4,2,1,4
694,5,3,31,1,18,39,1,1,2,1,1,3,2,3,4,3
695,7,1,11,1,27,136,3,3,4,3,4,2,1,3,3,3
696,8,5,51,1,32,66,3,2,4,1,3,2,2,1,3,3
697,8,3,31,1,36,53,2,4,2,3,3,3,2,3,4,3
698,1,2,23,1,35,22,4,1,1,2,1,2,4,4,3,3
699,2,1,13,1,33,260,3,3,2,3,4,3,3,4,3,2
700,2,4,41,1,33,147,2,3,4,2,2,4,3,2,2,4
701,6,5,54,1,26,16,2,2,2,2,3,3,3,3,4,4
702,6,3,32,1,33,53,3,2,2,2,2,1,2,2,3,2
703,2,1,13,1,30,79,4,2,4,2,3,2,2,3,2,4
704,7,3,35,1,33,53,2,2,3,2,2,1,2,2,4,2
705,8,2,23,1,30,74,1,1,4,2,4,2,3,3,1,3
706,1,2,24,1,23,13,2,1,1,3,3,2,3,3,2,4
707,2,5,51,2,22,45,3,2,2,3,4,2,2,2,3,3
708,2,1,11,2,32,99,2,3,2,3,2,2,4,2,2,4
709,6,2,22,2,31,470,3,3,2,2,4,2,2,2,2,3
710,3,4,42,2,25,22,2,3,2,3,2,4,3,4,2,1
711,1,3,31,2,22,137,2,1,2,2,2,2,3,2,3,3
712,4,1,11,2,24,41,4,1,4,3,3,2,1,2,2,4
713,7,4,41,1,36,4,2,2,2,2,3,2,3,2,2,1
714,5,2,25,2,28,19,3,3,2,2,3,2,4,2,3,2
715,6,5,53,2,31,45,4,3,4,2,2,4,2,2,4,3
716,4,1,12,1,29,46,4,3,2,4,3,2,2,3,3,2
717,2,2,22,1,33,27,3,2,4,2,3,2,2,3,3,3
718,3,1,14,2,22,82,2,4,2,3,3,2,3,3,3,3
719,7,5,54,1,32,51,4,4,3,4,2,4,3,2,4,3
720,2,2,21,2,32,18,3,4,4,2,2,2,3,2,4,3
721,3,4,43,1,28,108,2,1,4,4,3,3,3,2,2,2
722,8,2,25,1,34,46,3,3,2,2,2,2,4,3,3,3
723,7,1,15,1,22,57,4,3,3,3,3,2,3,1,3,3
724,2,3,31,2,42,160,3,3,4,4,2,1,4,2,2,3
725,4,2,21,2,29,21,4,3,4,4,2,2,2,2,1,1
726,7,4,45,2,34,29,4,3,2,2,3,1,4,4,1,3
727,5,3,33,2,32,60,4,4,1,4,2,3,4,3,2,3
728,7,5,52,2,30,40,2,2,2,2,3,2,1,2,3,1
729,2,2,23,1,31,334,4,3,2,3,3,4,2,3,2,3
730,1,3,32,2,30,29,4,3,2,3,2,3,2,2,2,3
731,8,3,35,2,40,266,4,3,3,4,1,2,3,3,1,2
732,8,1,14,1,29,44,1,3,4,2,2,2,3,3,3,3
733,3,1,14,1,34,88,2,1,3,2,2,3,2,3,4,2
734,5,5,52,1,23,78,3,1,1,4,4,2,2,3,3,2
735,8,5,52,1,43,72,3,1,2,4,1,2,4,1,4,3
736,1,2,23,1,47,67,3,3,2,4,2,1,2,3,3,4
737,8,2,24,1,29,16,3,4,3,2,3,2,1,4,3,4
738,1,3,34,2,22,21,4,2,2,3,3,3,3,4,3,3
739,7,5,52,2,29,92,4,3,3,3,4,2,1,3,3,2
740,6,5,51,1,23,89,1,2,3,2,2,3,1,2,1,2
741,2,4,41,1,34,113,3,3,3,2,2,2,3,2,3,2
742,7,3,33,1,34,44,2,3,3,2,2,4,3,3,3,2
743,1,5,53,2,30,54,2,1,4,2,4,4,3,3,2,2
744,2,5,51,1,31,11,4,2,3,2,1,3,4,3,2,2
745,8,2,25,1,31,96,4,2,3,3,2,2,3,1,2,2
746,7,3,35,2,25,58,2,2,2,2,1,4,2,2,2,3
747,2,1,11,1,29,41,2,2,4,3,4,3,3,2,1,3
748,1,5,55,2,41,178,2,1,3,2,3,3,2,3,2,2
749,6,1,11,1,30,99,4,2,3,3,2,3,4,2,2,3
750,6,2,23,2,26,250,3,4,2,3,3,3,4,4,4,3
751,2,5,51,1,28,80,3,3,2,2,2,2,2,3,2,3
752,7,5,53,2,34,231,2,3,3,2,2,3,2,1,1,2
753,2,4,44,1,21,9,2,2,2,3,2,3,1,3,2,3
754,2,3,33,2,41,83,2,4,2,2,3,1,3,4,1,1
755,6,2,24,2,35,19,4,3,3,3,3,3,3,4,4,3
756,4,3,33,1,28,362,3,2,4,4,2,4,2,1,2,2
757,2,4,45,1,23,31,4,4,3,4,2,3,4,1,3,1
758,1,2,25,1,38,500,3,4,2,1,2,3,4,1,2,4
759,2,5,52,1,30,176,4,3,3,2,2,2,2,2,2,4
760,3,4,43,2,31,4,3,3,3,2,3,4,2,1,2,3
761,3,5,51,2,33,203,2,3,3,4,2,4,3,4,3,3
762,3,2,21,1,24,12,4,3,3,3,3,1,4,3,3,2
763,6,4,42,1,33,5,2,3,3,3,3,3,3,2,2,2
764,3,1,15,1,26,44,3,2,2,2,3,4,2,3,2,3
765,4,4,44,2,37,20,2,2,3,3,3,3,1,4,2,4
766,6,2,23,1,29,48,4,2,4,3,3,2,4,3,1,2
767,7,3,33,2,26,12,3,2,3,2,2,2,2,2,3,2
768,4,5,51,1,34,34,2,2,2,1,1,3,1,1,3,1
769,8,5,52,2,42,15,2,1,4,4,2,1,3,2,3,3
770,2,1,12,1,29,138,3,2,2,1,2,2,3,1,2,3
771,7,3,33,2,30,8,4,2,3,4,3,2,2,3,3,1
772,6,1,12,1,31,176,3,2,3,3,4,1,3,2,4,3
773,2,3,31,1,42,294,2,1,3,1,3,4,4,2,2,4
774,7,3,34,1,37,10,4,4,3,2,1,2,3,3,4,1
775,6,3,31,2,36,34,3,2,2,2,3,3,3,2,2,3
776,6,4,45,2,32,93,4,3,1,2,3,2,2,2,2,1
777,1,2,21,1,32,37,4,2,2,2,3,3,2,2,3,3
778,2,5,54,1,35,48,3,3,3,3,4,2,3,3,3,4
779,5,4,43,2,26,279,2,4,3,2,3,4,2,4,4,2
780,6,4,45,2,30,61,3,1,1,2,3,4,2,3,1,1
781,3,1,13,2,37,26,2,2,2,4,2,1,2,3,3,3
782,2,1,12,1,22,425,3,1,2,3,3,2,4,3,3,2
783,2,1,14,1,27,19,3,3,1,2,2,2,2,1,3,2
784,4,5,52,2,40,76,2,4,2,2,1,4,3,2,3,3
785,7,1,13,2,29,73,2,3,3,2,2,3,3,3,3,3
786,7,4,41,1,34,11,4,4,2,2,4,3,2,3,1,4
787,2,2,25,1,29,213,4,2,3,3,2,3,4,3,3,3
788,4,1,12,1,20,43,4,3,4,2,4,3,2,3,3,4
789,7,5,54,1,32,20,2,3,2,3,2,1,2,3,1,4
790,6,2,25,1,30,336,4,2,2,4,3,2,3,4,2,4
791,3,4,43,1,27,78,1,3,3,3,3,4,3,3,3,3
792,2,2,21,2,31,79,1,2,1,3,2,4,3,1,2,4
793,2,4,44,1,27,50,3,1,3,2,2,4,1,2,2,3
794,4,3,31,2,38,71,1,1,3,2,1,1,3,3,1,3
795,6,1,15,1,24,33,2,1,3,2,3,1,2,3,3,3
796,6,4,44,1,24,28,2,3,2,3,2,3,4,2,4,4
797,8,4,42,1,44,365,1,2,3,4,3,2,1,4,4,3
798,1,5,55,2,25,22,3,3,3,2,2,3,2,3,4,3
799,4,4,43,1,38,73,3,3,2,1,3,3,4,3,2,2
800,8,1,12,2,33,177,1,3,2,3,4,4,4,3,3,3
801,4,5,53,1,31,8,4,1,3,3,2,3,3,2,2,4
802,1,2,24,1,38,1974,4,2,3,4,3,3,4,2,3,3
803,3,2,25,2,24,70,3,2,2,4,3,2,2,2,2,2
804,6,4,45,2,35,39,2,3,4,2,2,3,2,3,4,1
805,2,3,32,2,21,63,3,4,4,2,4,2,2,3,4,1
806,4,1,11,2,40,1054,2,1,3,3,3,2,2,2,1,4
807,8,4,45,2,26,21,2,2,4,2,3,1,4,2,4,1
808,5,5,54,1,37,31,3,4,3,2,3,3,2,3,3,3
809,8,5,55,2,26,189,3,4,3,1,3,2,3,2,3,3
810,5,5,51,2,35,28,3,3,4,2,3,3,4,4,2,3
811,2,4,42,1,38,21,4,3,4,3,2,3,3,4,3,2
812,6,2,24,2,28,94,3,4,3,2,2,3,2,3,3,4
813,8,5,54,1,40,124,1,2,2,1,2,1,2,4,2,3
814,1,2,25,1,37,96,3,3,3,2,2,3,4,1,3,3
815,8,1,15,1,36,126,4,4,2,2,3,3,3,3,1,3
